threshold,tpr,fpr,roc_auc
0.0,1.0,1.0,0.5
0.005,1.0,1.0,0.5
0.01,1.0,1.0,0.5
0.015,1.0,1.0,0.5
0.02,1.0,1.0,0.5
0.025,1.0,1.0,0.5
0.03,1.0,1.0,0.5
0.035,1.0,1.0,0.5
0.04,1.0,1.0,0.5
0.045,1.0,1.0,0.5
0.05,1.0,1.0,0.5
0.055,1.0,1.0,0.5
0.06,1.0,1.0,0.5
0.065,1.0,1.0,0.5
0.07,1.0,1.0,0.5
0.075,1.0,1.0,0.5
0.08,1.0,1.0,0.5
0.085,1.0,1.0,0.5
0.09,1.0,1.0,0.5
0.095,1.0,1.0,0.5
0.1,1.0,1.0,0.5
0.105,1.0,1.0,0.5
0.11,1.0,1.0,0.5
0.115,1.0,1.0,0.5
0.12,1.0,1.0,0.5
0.125,1.0,1.0,0.5
0.13,1.0,1.0,0.5
0.135,1.0,1.0,0.5
0.14,1.0,1.0,0.5
0.145,1.0,1.0,0.5
0.15,1.0,1.0,0.5
0.155,1.0,1.0,0.5
0.16,1.0,1.0,0.5
0.165,1.0,1.0,0.5
0.17,1.0,1.0,0.5
0.17500000000000002,1.0,1.0,0.5
0.18,1.0,1.0,0.5
0.185,1.0,1.0,0.5
0.19,1.0,1.0,0.5
0.195,1.0,1.0,0.5
0.2,1.0,1.0,0.5
0.20500000000000002,1.0,1.0,0.5
0.21,1.0,1.0,0.5
0.215,1.0,1.0,0.5
0.22,1.0,1.0,0.5
0.225,1.0,1.0,0.5
0.23,1.0,1.0,0.5
0.23500000000000001,1.0,1.0,0.5
0.24,1.0,1.0,0.5
0.245,1.0,1.0,0.5
0.25,1.0,1.0,0.5
0.255,1.0,1.0,0.5
0.26,1.0,1.0,0.5
0.265,1.0,1.0,0.5
0.27,1.0,1.0,0.5
0.275,1.0,1.0,0.5
0.28,1.0,1.0,0.5
0.28500000000000003,1.0,1.0,0.5
0.29,1.0,1.0,0.5
0.295,1.0,1.0,0.5
0.3,1.0,1.0,0.5
0.305,1.0,1.0,0.5
0.31,1.0,1.0,0.5
0.315,1.0,1.0,0.5
0.32,1.0,1.0,0.5
0.325,1.0,1.0,0.5
0.33,1.0,1.0,0.5
0.335,1.0,1.0,0.5
0.34,1.0,1.0,0.5
0.34500000000000003,1.0,1.0,0.5
0.35000000000000003,1.0,1.0,0.5
0.355,1.0,1.0,0.5
0.36,1.0,1.0,0.5
0.365,1.0,1.0,0.5
0.37,1.0,1.0,0.5
0.375,1.0,1.0,0.5
0.38,1.0,1.0,0.5
0.385,1.0,1.0,0.5
0.39,1.0,1.0,0.5
0.395,1.0,1.0,0.5
0.4,1.0,1.0,0.5
0.405,1.0,1.0,0.5
0.41000000000000003,1.0,1.0,0.5
0.41500000000000004,1.0,1.0,0.5
0.42,1.0,1.0,0.5
0.425,1.0,1.0,0.5
0.43,1.0,1.0,0.5
0.435,1.0,1.0,0.5
0.44,1.0,1.0,0.5
0.445,1.0,1.0,0.5
0.45,1.0,1.0,0.5
0.455,1.0,1.0,0.5
0.46,1.0,1.0,0.5
0.465,1.0,1.0,0.5
0.47000000000000003,1.0,1.0,0.5
0.47500000000000003,1.0,1.0,0.5
0.48,1.0,1.0,0.5
0.485,1.0,1.0,0.5
0.49,1.0,1.0,0.5
0.495,1.0,1.0,0.5
0.5,1.0,1.0,0.5
0.505,1.0,1.0,0.5
0.51,1.0,1.0,0.5
0.515,1.0,1.0,0.5
0.52,1.0,1.0,0.5
0.525,1.0,1.0,0.5
0.53,1.0,1.0,0.5
0.535,1.0,1.0,0.5
0.54,1.0,1.0,0.5
0.545,1.0,1.0,0.5
0.55,1.0,1.0,0.5
0.555,1.0,1.0,0.5
0.56,1.0,1.0,0.5
0.5650000000000001,1.0,1.0,0.5
0.5700000000000001,0.0,0.0,0.5
0.5750000000000001,0.0,0.0,0.5
0.58,0.0,0.0,0.5
0.585,0.0,0.0,0.5
0.59,0.0,0.0,0.5
0.595,0.0,0.0,0.5
0.6,0.0,0.0,0.5
0.605,0.0,0.0,0.5
0.61,0.0,0.0,0.5
0.615,0.0,0.0,0.5
0.62,0.0,0.0,0.5
0.625,0.0,0.0,0.5
0.63,0.0,0.0,0.5
0.635,0.0,0.0,0.5
0.64,0.0,0.0,0.5
0.645,0.0,0.0,0.5
0.65,0.0,0.0,0.5
0.655,0.0,0.0,0.5
0.66,0.0,0.0,0.5
0.665,0.0,0.0,0.5
0.67,0.0,0.0,0.5
0.675,0.0,0.0,0.5
0.68,0.0,0.0,0.5
0.685,0.0,0.0,0.5
0.6900000000000001,0.0,0.0,0.5
0.6950000000000001,0.0,0.0,0.5
0.7000000000000001,0.0,0.0,0.5
0.705,0.0,0.0,0.5
0.71,0.0,0.0,0.5
0.715,0.0,0.0,0.5
0.72,0.0,0.0,0.5
0.725,0.0,0.0,0.5
0.73,0.0,0.0,0.5
0.735,0.0,0.0,0.5
0.74,0.0,0.0,0.5
0.745,0.0,0.0,0.5
0.75,0.0,0.0,0.5
0.755,0.0,0.0,0.5
0.76,0.0,0.0,0.5
0.765,0.0,0.0,0.5
0.77,0.0,0.0,0.5
0.775,0.0,0.0,0.5
0.78,0.0,0.0,0.5
0.785,0.0,0.0,0.5
0.79,0.0,0.0,0.5
0.795,0.0,0.0,0.5
0.8,0.0,0.0,0.5
0.805,0.0,0.0,0.5
0.81,0.0,0.0,0.5
0.8150000000000001,0.0,0.0,0.5
0.8200000000000001,0.0,0.0,0.5
0.8250000000000001,0.0,0.0,0.5
0.8300000000000001,0.0,0.0,0.5
0.835,0.0,0.0,0.5
0.84,0.0,0.0,0.5
0.845,0.0,0.0,0.5
0.85,0.0,0.0,0.5
0.855,0.0,0.0,0.5
0.86,0.0,0.0,0.5
0.865,0.0,0.0,0.5
0.87,0.0,0.0,0.5
0.875,0.0,0.0,0.5
0.88,0.0,0.0,0.5
0.885,0.0,0.0,0.5
0.89,0.0,0.0,0.5
0.895,0.0,0.0,0.5
0.9,0.0,0.0,0.5
0.905,0.0,0.0,0.5
0.91,0.0,0.0,0.5
0.915,0.0,0.0,0.5
0.92,0.0,0.0,0.5
0.925,0.0,0.0,0.5
0.93,0.0,0.0,0.5
0.935,0.0,0.0,0.5
0.9400000000000001,0.0,0.0,0.5
0.9450000000000001,0.0,0.0,0.5
0.9500000000000001,0.0,0.0,0.5
0.9550000000000001,0.0,0.0,0.5
0.96,0.0,0.0,0.5
0.965,0.0,0.0,0.5
0.97,0.0,0.0,0.5
0.975,0.0,0.0,0.5
0.98,0.0,0.0,0.5
0.985,0.0,0.0,0.5
0.99,0.0,0.0,0.5
0.995,0.0,0.0,0.5
1.0,0.0,0.0,0.5
